Application startup complete.
Shutting down
Waiting for application shutdown.
Application shutdown complete.
Finished server process [28204]
127.0.0.1:50152 - "GET /api/v1/bulka/users_sellers?page=1&per_page=100 HTTP/1.1" 500
127.0.0.1:50344 - "GET /api/swagger HTTP/1.1" 200
127.0.0.1:50344 - "GET /api/swagger_doc.json HTTP/1.1" 200
127.0.0.1:50345 - "GET /api/v1/bulka/users_sellers?page=1&per_page=100 HTTP/1.1" 500
127.0.0.1:50890 - "GET /api/v1/bulka/users_sellers?page=1&per_page=100 HTTP/1.1" 500
127.0.0.1:50914 - "GET /api/v1/bulka/users_sellers?page=1&per_page=100 HTTP/1.1" 200
127.0.0.1:55362 - "GET /api/v1/bulka/users_sellers?page=1&per_page=100 HTTP/1.1" 500
127.0.0.1:55385 - "GET /api/v1/bulka/users_sellers?page=1&per_page=100 HTTP/1.1" 500
127.0.0.1:55414 - "GET /api/v1/bulka/users_sellers?page=1&per_page=100 HTTP/1.1" 500
127.0.0.1:55424 - "GET /api/v1/bulka/users_sellers?page=1&per_page=100 HTTP/1.1" 500
127.0.0.1:55457 - "GET /api/v1/bulka/users_sellers?page=1&per_page=100 HTTP/1.1" 200
